"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","striatum.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat130912174800.csv 10",,,,"Date:","12 Sep 2013 17:48:00 CEST"

"system","memory usage",,,
"time","used","buff","cach","free"
12-09 17:48:00,2453385216.0,217837568.0,1048317952.0,13064843264.0
12-09 17:48:10,4151406592.0,218427392.0,1221480448.0,11193069568.0
12-09 17:48:20,4886728704.0,218447872.0,1220403200.0,10458804224.0
12-09 17:48:30,5593985024.0,218484736.0,1220304896.0,9751609344.0
12-09 17:48:40,5849006080.0,218562560.0,1227051008.0,9489764352.0
12-09 17:48:50,6602375168.0,218583040.0,1225875456.0,8737550336.0
12-09 17:49:00,6644580352.0,218599424.0,1225867264.0,8695336960.0
12-09 17:49:10,6679355392.0,218628096.0,1227255808.0,8659144704.0
12-09 17:49:20,6715740160.0,218660864.0,1226084352.0,8623898624.0
12-09 17:49:30,6749253632.0,218685440.0,1226084352.0,8590360576.0
12-09 17:49:40,6794387456.0,218701824.0,1226084352.0,8545210368.0
12-09 17:49:50,6826229760.0,218726400.0,1227300864.0,8512126976.0
12-09 17:50:00,6847512576.0,218759168.0,1226260480.0,8491851776.0
12-09 17:50:10,6877306880.0,218787840.0,1226379264.0,8461910016.0
12-09 17:50:20,6924476416.0,218812416.0,1226403840.0,8414691328.0
12-09 17:50:30,6976933888.0,218836992.0,1227677696.0,8360935424.0
12-09 17:50:40,6764974080.0,218857472.0,1228357632.0,8572194816.0
12-09 17:50:50,6998474752.0,218877952.0,1228357632.0,8338673664.0
12-09 17:51:00,7027347456.0,218894336.0,1228349440.0,8309792768.0
12-09 17:51:10,6442749952.0,218935296.0,1227149312.0,8895549440.0
12-09 17:51:20,6452162560.0,218951680.0,1227149312.0,8886120448.0
12-09 17:51:30,6470451200.0,218976256.0,1227149312.0,8867807232.0
12-09 17:51:40,6511329280.0,218992640.0,1227149312.0,8826912768.0
12-09 17:51:50,6573883392.0,219000832.0,1227153408.0,8764346368.0
12-09 17:52:00,6592303104.0,219025408.0,1227251712.0,8745803776.0
12-09 17:52:10,6671495168.0,219041792.0,1227251712.0,8666595328.0
12-09 17:52:20,6738911232.0,219049984.0,1227251712.0,8599171072.0
12-09 17:52:30,6760607744.0,219066368.0,1227251712.0,8577458176.0
12-09 17:52:40,6760726528.0,219074560.0,1227251712.0,8577331200.0
12-09 17:52:50,6760701952.0,219099136.0,1227251712.0,8577331200.0
12-09 17:53:00,6760595456.0,219115520.0,1227366400.0,8577306624.0
12-09 17:53:10,6760591360.0,219123712.0,1227370496.0,8577298432.0
12-09 17:53:20,6918914048.0,219140096.0,1227370496.0,8418959360.0
12-09 17:53:30,6954455040.0,219156480.0,1227366400.0,8383406080.0
12-09 17:53:40,6991503360.0,219164672.0,1227370496.0,8346345472.0
12-09 17:53:50,7022333952.0,219181056.0,1227370496.0,8315498496.0
12-09 17:54:00,7065751552.0,219197440.0,1227362304.0,8272072704.0
12-09 17:54:10,7099899904.0,219205632.0,1227370496.0,8237907968.0
12-09 17:54:20,7120658432.0,219222016.0,1227370496.0,8217133056.0
12-09 17:54:30,7146536960.0,219246592.0,1227370496.0,8191229952.0
12-09 17:54:40,7193763840.0,219254784.0,1227370496.0,8143994880.0
12-09 17:54:50,7245799424.0,219271168.0,1227370496.0,8091942912.0
12-09 17:55:00,7282225152.0,219295744.0,1227362304.0,8055500800.0
12-09 17:55:10,7282462720.0,219303936.0,1227370496.0,8055246848.0
12-09 17:55:20,7308730368.0,219320320.0,1227370496.0,8028962816.0
12-09 17:55:30,7323824128.0,219336704.0,1227370496.0,8013852672.0
