"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","selact.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat130913085147.csv 10",,,,"Date:","13 Sep 2013 08:51:48 CEST"

"system","memory usage",,,
"time","used","buff","cach","free"
13-09 08:51:48,988667904.0,10240000.0,111198208.0,11483467776.0
13-09 08:51:58,1440296960.0,12242944.0,149889024.0,10991144960.0
13-09 08:52:08,1577787392.0,12251136.0,149889024.0,10853646336.0
13-09 08:52:18,1603039232.0,12259328.0,149897216.0,10828378112.0
13-09 08:52:28,1618157568.0,12267520.0,149889024.0,10813259776.0
13-09 08:52:38,1654988800.0,12283904.0,149864448.0,10776436736.0
13-09 08:52:48,1665159168.0,12300288.0,149835776.0,10766278656.0
13-09 08:52:58,1706729472.0,12316672.0,149897216.0,10724630528.0
13-09 08:53:08,1731948544.0,12324864.0,149897216.0,10699403264.0
13-09 08:53:18,1741336576.0,12333056.0,149897216.0,10690007040.0
13-09 08:53:28,1784467456.0,12341248.0,149897216.0,10646867968.0
13-09 08:53:38,1862635520.0,12357632.0,150020096.0,10568560640.0
13-09 08:53:48,1881292800.0,12365824.0,150020096.0,10549895168.0
13-09 08:53:58,1909600256.0,12374016.0,150020096.0,10521579520.0
13-09 08:54:08,1940541440.0,12382208.0,150020096.0,10490630144.0
13-09 08:54:18,1952849920.0,12390400.0,150020096.0,10478313472.0
13-09 08:54:28,1950175232.0,12398592.0,150020096.0,10480979968.0
13-09 08:54:38,1959305216.0,12414976.0,150016000.0,10471837696.0
13-09 08:54:48,1968943104.0,12423168.0,150020096.0,10462187520.0
13-09 08:54:58,1977950208.0,12431360.0,150020096.0,10453172224.0
13-09 08:55:08,1987084288.0,12439552.0,150020096.0,10444029952.0
13-09 08:55:18,2002444288.0,12447744.0,150016000.0,10428665856.0
13-09 08:55:28,2014875648.0,12455936.0,150020096.0,10416222208.0
13-09 08:55:38,2027556864.0,12472320.0,150020096.0,10403524608.0
13-09 08:55:48,2040107008.0,12480512.0,150032384.0,10390953984.0
13-09 08:55:58,2055602176.0,12488704.0,150020096.0,10375462912.0
13-09 08:56:08,2103463936.0,12496896.0,150020096.0,10327592960.0
