[7l----system---- ------memory-usage-----
     time     | used  buff  cach  free
16-09 17:27:48|1343M 3154M 1151M 10.1G
16-09 17:27:58|1898M 3154M 1168M 9786M
16-09 17:28:08|1924M 3154M 1168M 9761M
16-09 17:28:18|1949M 3154M 1168M 9735M
16-09 17:28:28|1979M 3154M 1168M 9706M
16-09 17:28:38|1937M 3154M 1168M 9749M
16-09 17:28:48|1927M 3154M 1170M 9756M
16-09 17:28:58|2017M 3154M 1170M 9666M
16-09 17:29:08|2017M 3154M 1170M 9665M
16-09 17:29:18|2018M 3154M 1170M 9665M
16-09 17:29:28|2018M 3154M 1170M 9665M
16-09 17:29:38|2018M 3154M 1170M 9665M
16-09 17:29:48|2018M 3154M 1170M 9665M
16-09 17:29:58|2018M 3154M 1170M 9665M
16-09 17:30:08|2018M 3154M 1170M 9665M
16-09 17:30:18|2018M 3154M 1170M 9665M
16-09 17:30:28|2018M 3154M 1170M 9664M
16-09 17:30:38|2018M 3154M 1170M 9664M
16-09 17:30:48|2018M 3154M 1170M 9664M
16-09 17:30:58|2018M 3154M 1170M 9664M
16-09 17:31:08|2018M 3154M 1170M 9664M
16-09 17:31:18|2018M 3154M 1170M 9664M
16-09 17:31:28|2019M 3154M 1170M 9664M
16-09 17:31:38|2019M 3154M 1170M 9664M
16-09 17:31:48|2018M 3154M 1170M 9664M
16-09 17:31:58|2019M 3154M 1170M 9664M
16-09 17:32:08|2018M 3154M 1170M 9664M
16-09 17:32:18|2019M 3154M 1170M 9664M
16-09 17:32:28|2019M 3154M 1170M 9664M
16-09 17:32:38|2019M 3154M 1170M 9663M
16-09 17:32:48|2019M 3154M 1170M 9663M
16-09 17:32:58|2019M 3154M 1170M 9663M
16-09 17:33:08|2020M 3154M 1170M 9663M
16-09 17:33:18|2020M 3154M 1170M 9663M
16-09 17:33:28|2020M 3154M 1170M 9663M
16-09 17:33:38|2020M 3154M 1170M 9662M
16-09 17:33:48|2020M 3154M 1170M 9662M
16-09 17:33:58|2020M 3154M 1170M 9662M
16-09 17:34:08|2020M 3154M 1170M 9662M
16-09 17:34:18|2020M 3154M 1170M 9662M
16-09 17:34:28|2020M 3154M 1170M 9662M
16-09 17:34:38|2021M 3154M 1170M 9662M
16-09 17:34:48|2021M 3154M 1170M 9662M
16-09 17:34:58|2021M 3154M 1170M 9662M
16-09 17:35:08|2021M 3154M 1170M 9661M
