"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","striatum.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat13221709.csv 1",,,,"Date:","12 Sep 2013 17:22:09 CEST"

"system","memory usage",,,
"time","used","buff","cach","free"
12-09 17:22:09,2392039424.0,212701184.0,902774784.0,13276868608.0
12-09 17:22:10,2392018944.0,212701184.0,902778880.0,13276884992.0
12-09 17:22:11,2392588288.0,212701184.0,901505024.0,13277589504.0
12-09 17:22:12,2392543232.0,212709376.0,901529600.0,13277601792.0
12-09 17:22:13,2392514560.0,212709376.0,901619712.0,13277540352.0
12-09 17:22:14,2408419328.0,212721664.0,901607424.0,13261635584.0
12-09 17:22:15,2408423424.0,212721664.0,901619712.0,13261619200.0
12-09 17:22:16,2400481280.0,212721664.0,901619712.0,13269561344.0
12-09 17:22:17,2400227328.0,212721664.0,901619712.0,13269815296.0
12-09 17:22:18,2400194560.0,212721664.0,901619712.0,13269848064.0
